id,tieu_chi,nhan,ghi_chu
J06_le_tan,Tiếng Anh giao tiếp,DUNG,Rubric chốt: tiếng Anh giao tiếp phải nói mới biết
J06_le_tan,Biết thêm tiếng Trung hoặc Hàn,DUNG,
J06_le_tan,Kỹ năng giao tiếp,DUNG,
J06_le_tan,Kỹ năng xử lý tình huống,DUNG,
J06_le_tan,Có thể làm việc theo ca,DUNG,
J06_le_tan,Có kinh nghiệm lễ tân khách sạn 3 sao trở lên,DUNG,
J06_le_tan,Biết sử dụng OTA,DUNG,Từ skill_tags; chỉ V2 nêu
J07_marketing,Kinh nghiệm chạy quảng cáo Facebook Ads và Google Ads,GOP,"Hai nền tảng nối bằng 'và', chấm hai điểm được — V4 tách đúng"
J07_marketing,Năng lực viết nội dung bán hàng bằng tiếng Việt mạch lạc,DUNG,
J07_marketing,Kiến thức cơ bản về sử dụng Canva hoặc Photoshop,DUNG,Nối bằng 'hoặc' — hai biến thể cùng một việc
J07_marketing,Kỹ năng đọc hiểu số liệu và sử dụng Google Analytics,DUNG,Ca ranh giới: đọc số và dùng GA là một năng lực phân tích
J07_marketing,"Sáng tạo, chủ động đề xuất ý tưởng",DUNG,"Chủ động đề xuất ý tưởng chính là biểu hiện của sáng tạo, một điểm"
J08_cskh,Trình độ học vấn,GIAYTO,"Vẫn là bằng cấp, chỉ đổi cách gọi"
J08_cskh,Kinh nghiệm làm việc,DUNG,Có căn cứ nhưng tên trống nghĩa — V2 hay rút gọn kiểu này
J08_cskh,Giọng nói và phát âm,DUNG,"Cùng một khía cạnh giọng nói, một điểm"
J08_cskh,Kỹ năng lắng nghe,DUNG,
J08_cskh,Kỹ năng xoa dịu khách hàng,DUNG,
J08_cskh,Nắm bắt Excel,DUNG,
J08_cskh,Nắm bắt phần mềm quản lý khách hàng,DUNG,
J08_cskh,Kiên nhẫn và khả năng giữ bình tĩnh,DUNG,Một điểm
J09_chi_dau_viec,Theo dõi hướng dẫn từ tổ trưởng,DAUVIEC,Việc làm sau khi vào công ty
J09_chi_dau_viec,Kiểm tra chất lượng sản phẩm,DAUVIEC,Việc làm sau khi vào công ty
J09_chi_dau_viec,Loại bỏ hàng lỗi,DAUVIEC,Việc làm sau khi vào công ty
J09_chi_dau_viec,Vệ sinh máy móc sau ca làm việc,DAUVIEC,Việc làm sau khi vào công ty
J09_chi_dau_viec,Ghi chép chính xác sản lượng vào biểu mẫu,DAUVIEC,Việc làm sau khi vào công ty
J09_chi_dau_viec,Tuân thủ nội quy an toàn lao động của nhà máy,DAUVIEC,Nội quy phải tuân thủ khi đã đi làm
J09_chi_dau_viec,Tham gia họp đầu ca,DAUVIEC,Việc làm sau khi vào công ty
J10_qua_nhieu,Kinh nghiệm phát triển phần mềm,DUNG,
J10_qua_nhieu,Kinh nghiệm dẫn dắt nhóm,DUNG,
J10_qua_nhieu,Thành thạo Java hoặc C#,DUNG,Nối bằng 'hoặc'
J10_qua_nhieu,Kinh nghiệm thiết kế kiến trúc hệ thống phân tán,DUNG,
J10_qua_nhieu,Nắm vững cơ sở dữ liệu quan hệ và tối ưu truy vấn,DUNG,"Tối ưu truy vấn nằm trong kiến thức CSDL quan hệ, một điểm"
J10_qua_nhieu,"Kinh nghiệm với Docker, Kubernetes",GOP,Hai công nghệ chấm riêng được; không phiên bản nào tách
J10_qua_nhieu,Hiểu quy trình Agile/Scrum,DUNG,
J10_qua_nhieu,Kỹ năng giao tiếp và thuyết trình tốt,GOP,Giao tiếp 1-1 và thuyết trình trước đám đông là hai điểm khác nhau
J10_qua_nhieu,"Kỹ năng huấn luyện, kèm cặp thành viên mới",DUNG,Huấn luyện và kèm cặp là một việc
J10_qua_nhieu,Tiếng Anh giao tiếp được với khách hàng nước ngoài,DUNG,
