id,tieu_chi,nhan,ghi_chu
J05_hanh_chinh,"Nắm được quy định về BHXH, hợp đồng lao động",DUNG,"PHÂN VÂN: cùng dạng với J01 'chế độ kế toán và luật thuế' — chấm nhất quán, một khối kiến thức pháp lý lao động"
J05_hanh_chinh,Thành thạo Word,DUNG,AI tách đúng dòng 'Word, Excel, phần mềm chấm công'
J05_hanh_chinh,Thành thạo Excel,DUNG,
J05_hanh_chinh,Biết dùng phần mềm chấm công,DUNG,
J05_hanh_chinh,Kỹ năng giao tiếp tốt,DUNG,
J05_hanh_chinh,Kỹ năng sắp xếp công việc tốt,DUNG,
J05_hanh_chinh,"Cẩn thận, bảo mật thông tin",GOP,Cẩn thận và ý thức bảo mật là hai thứ khác nhau — cùng lỗi với J03
J06_le_tan,Ngoại hình ưa nhìn,GIAYTO,Rubric chốt sẵn: nhìn là biết
J06_le_tan,Chiều cao từ 1m60 trở lên,GIAYTO,Đo là ra con số — không có gì để chấm 0-10
J06_le_tan,Tiếng Anh giao tiếp tốt,DUNG,
J06_le_tan,Biết thêm tiếng Trung hoặc Hàn,DUNG,Tách đúng khỏi dòng tiếng Anh
J06_le_tan,Kỹ năng giao tiếp,DUNG,
J06_le_tan,Kỹ năng xử lý tình huống với khách khó tính,DUNG,
J06_le_tan,"Có thể làm việc theo ca, kể cả cuối tuần và lễ tết",DUNG,"PHÂN VÂN: đúng ba điều kiện DUNG (phải hỏi mới biết), nhưng bản chất là câu hỏi có/không chứ không phải thang điểm"
J06_le_tan,Có kinh nghiệm làm lễ tân khách sạn 3 sao trở lên,DUNG,
J07_marketing,Kinh nghiệm chạy quảng cáo Facebook Ads,DUNG,
J07_marketing,Kinh nghiệm chạy quảng cáo Google Ads,DUNG,Tách đúng khỏi Facebook Ads — hai nền tảng chấm riêng được
J07_marketing,Viết nội dung bán hàng bằng tiếng Việt mạch lạc,DUNG,
J07_marketing,Sử dụng Canva hoặc Photoshop ở mức cơ bản,DUNG,Cùng dạng MISA/Fast
J07_marketing,Đọc hiểu số liệu và sử dụng Google Analytics,DUNG,"PHÂN VÂN: đọc số và dùng GA là một năng lực phân tích, chấm một điểm"
J07_marketing,"Sáng tạo, chủ động đề xuất ý tưởng",DUNG,"PHÂN VÂN: vế sau là biểu hiện của vế trước, không phải hai kỹ năng"
J10_qua_nhieu,Kinh nghiệm phát triển phần mềm,DUNG,"Mốc 'tối thiểu 5 năm' bị rơi khi chuẩn hóa câu — không đủ thành lỗi, nhưng đáng ghi"
J10_qua_nhieu,Kinh nghiệm dẫn dắt nhóm,DUNG,
J10_qua_nhieu,Thành thạo Java hoặc C#,DUNG,
J10_qua_nhieu,Kinh nghiệm thiết kế kiến trúc hệ thống phân tán,DUNG,
J10_qua_nhieu,Nắm vững cơ sở dữ liệu quan hệ và tối ưu truy vấn,DUNG,"PHÂN VÂN: tối ưu truy vấn nằm trong năng lực CSDL, chấm một điểm"
J10_qua_nhieu,"Kinh nghiệm với Docker, Kubernetes",GOP,"Biết Docker không suy ra biết Kubernetes — đúng phép thử 'phải cho hai điểm khác nhau'. Cùng dạng với ca EF/REST/microservices mà AI đã tách được ở J04"
J10_qua_nhieu,Hiểu quy trình Agile/Scrum,DUNG,Agile/Scrum là hai tên của cùng một khối quy trình
J10_qua_nhieu,Kỹ năng giao tiếp tốt,DUNG,
J10_qua_nhieu,Kỹ năng thuyết trình,DUNG,Tách khỏi 'giao tiếp' là hợp lý — nhưng xem ghi chú bỏ sót ở missing.csv
J10_qua_nhieu,"Kỹ năng huấn luyện, kèm cặp thành viên mới",DUNG,Huấn luyện và kèm cặp là hai chữ cho cùng một việc
