id,tieu_chi,nhan,ghi_chu
J07_marketing,Đọc hiểu số liệu và sử dụng Google Analytics,DUNG,Ca ranh giới: đọc số và dùng GA là một năng lực phân tích
J07_marketing,"Sáng tạo, chủ động đề xuất ý tưởng",DUNG,"Chủ động đề xuất ý tưởng chính là biểu hiện của sáng tạo, một điểm"
J08_cskh,Tốt nghiệp Trung cấp trở lên,GIAYTO,Nhìn bằng là xong
J08_cskh,Có ít nhất 6 tháng kinh nghiệm chăm sóc khách hàng qua điện thoại,DUNG,
J08_cskh,"Giọng nói dễ nghe, phát âm rõ ràng",DUNG,"Ca ranh giới: nghe hai câu là biết, đúng thứ chỉ phỏng vấn mới đánh giá được"
J08_cskh,Kỹ năng lắng nghe và xoa dịu khách đang bức xúc,GOP,Lắng nghe và xoa dịu chấm rời được — V2 tách đúng
J08_cskh,Sử dụng được Excel,DUNG,
J08_cskh,Sử dụng được phần mềm quản lý khách hàng,DUNG,
J08_cskh,"Kiên nhẫn, giữ được bình tĩnh khi bị khách lớn tiếng",DUNG,"Giữ bình tĩnh là biểu hiện của kiên nhẫn, một điểm"
J10_qua_nhieu,Kinh nghiệm phát triển phần mềm,DUNG,
J10_qua_nhieu,Kinh nghiệm dẫn dắt nhóm,DUNG,
J10_qua_nhieu,Thành thạo Java hoặc C#,DUNG,Nối bằng 'hoặc'
J10_qua_nhieu,Kinh nghiệm thiết kế kiến trúc hệ thống phân tán,DUNG,
J10_qua_nhieu,Nắm vững cơ sở dữ liệu quan hệ và tối ưu truy vấn,DUNG,"Tối ưu truy vấn nằm trong kiến thức CSDL quan hệ, một điểm"
J10_qua_nhieu,"Kinh nghiệm với Docker, Kubernetes",GOP,Hai công nghệ chấm riêng được; không phiên bản nào tách
J10_qua_nhieu,Hiểu quy trình Agile/Scrum,DUNG,
J10_qua_nhieu,Kỹ năng giao tiếp và thuyết trình tốt,GOP,Giao tiếp 1-1 và thuyết trình trước đám đông là hai điểm khác nhau
J10_qua_nhieu,"Kỹ năng huấn luyện, kèm cặp thành viên mới",DUNG,Huấn luyện và kèm cặp là một việc
J10_qua_nhieu,Tiếng Anh giao tiếp được với khách hàng nước ngoài,DUNG,
