criterion,text,label,similarity
Kinh nghiệm làm việc với phần mềm kế toán doanh nghiệp,"Vận hành phân hệ kế toán trên SAP, xử lý bút toán và đối soát tự động.",1,0.5998
Kinh nghiệm làm việc với phần mềm kế toán doanh nghiệp,"Ghi chép thu chi bằng file Excel tự lập, chưa dùng phần mềm chuyên dụng.",0,0.6188
Kinh nghiệm làm việc với phần mềm kế toán doanh nghiệp,Biết sử dụng phần mềm quản lý bán hàng KiotViet tại cửa hàng.,0,0.5448
Kinh nghiệm làm việc với phần mềm kế toán doanh nghiệp,Đã được giới thiệu về phần mềm MISA trong môn học ở trường.,0,0.5658
Khả năng làm việc độc lập và chịu áp lực cao,"Tự chủ động xử lý toàn bộ sổ sách chi nhánh trong mùa quyết toán, thường xuyên hoàn thành đúng hạn.",1,0.5509
Khả năng làm việc độc lập và chịu áp lực cao,"Một mình phụ trách vận hành ca đêm, tự ra quyết định xử lý sự cố không cần chờ quản lý.",1,0.5853
Khả năng làm việc độc lập và chịu áp lực cao,"Quen với môi trường deadline gấp, từng chạy song song 4 dự án trong cùng một quý.",1,0.5837
Khả năng làm việc độc lập và chịu áp lực cao,Luôn hoàn thành công việc được giao theo hướng dẫn chi tiết của cấp trên.,0,0.5251
Khả năng làm việc độc lập và chịu áp lực cao,"Thích môi trường ổn định, ít thay đổi để tập trung chuyên môn.",0,0.5609
Khả năng làm việc độc lập và chịu áp lực cao,"Hòa đồng, luôn sẵn sàng hỗ trợ đồng nghiệp khi được nhờ.",0,0.5157
Kinh nghiệm quản lý dự án phần mềm,"Điều phối dự án 6 tháng cho khách hàng Nhật, quản lý phạm vi, tiến độ và rủi ro theo tuần.",1,0.5716
Kinh nghiệm quản lý dự án phần mềm,"Chạy Scrum cho đội 9 người, tổ chức sprint planning và retrospective đều đặn.",1,0.4966
Kinh nghiệm quản lý dự án phần mềm,Lập kế hoạch nguồn lực và theo dõi ngân sách cho ba dự án triển khai song song.,1,0.5738
Kinh nghiệm quản lý dự án phần mềm,Tham gia họp sprint hàng ngày và cập nhật trạng thái công việc của bản thân lên Jira.,0,0.4974
Kinh nghiệm quản lý dự án phần mềm,Viết tài liệu đặc tả yêu cầu theo phân công của trưởng nhóm phân tích nghiệp vụ.,0,0.5001
Kinh nghiệm quản lý dự án phần mềm,Có chứng chỉ PMP nhưng chưa từng tham gia dự án phần mềm thực tế.,0,0.6768
