id_tin,stt_cau,cau,nhan,ghi_chu
C07_song_ngu,4,"ngoài ra, cô còn có kỹ năng thiết kế nội dung quảng cáo với canva và có chứng chỉ ielts 7.0.",SUYDIEN,PHÂN VÂN: Canva chỉ nằm ở mục Skills; CV nói PHỐI HỢP với đội thiết kế — ghép hai thứ thành 'tự thiết kế bằng Canva'
C07_song_ngu,5,"trong quá khứ, linh từng làm marketing intern tại công ty cp thương mại việt phát.",DUNG,
C08_thanh_tich_nhieu_so,1,"bùi trung kiên hiện là trưởng nhóm kinh doanh với hơn 4 năm kinh nghiệm, trong đó có 2 năm làm quản lý đội nhóm.",SAISO,"'hơn 4 năm, 2 năm quản lý' là ngưỡng của JD, không phải số của CV (08/2017 – nay, trưởng nhóm từ 03/2021)"
C08_thanh_tich_nhieu_so,2,"anh có kinh nghiệm xây dựng và triển khai chỉ tiêu doanh số, đạt kết quả vượt chỉ tiêu trong nhiều năm.",DUNG,
C08_thanh_tich_nhieu_so,3,anh cũng có kỹ năng đàm phán và trình bày tốt.,DUNG,"PHÂN VÂN: CV liệt kê 'đàm phán, trình bày trước khách hàng'; chữ 'tốt' mượn từ JD"
C08_thanh_tich_nhieu_so,4,"trước đó, anh từng làm nhân viên kinh doanh tại công ty tnhh thương mại tân á và đạt thành tích vượt chỉ tiêu cá nhân trong 3 năm liên tiếp.",DUNG,
C09_khoang_trong_su_nghiep,1,"trịnh thu hà là ứng viên có kinh nghiệm 4 năm trong lĩnh vực nhân sự, đặc biệt là mảng c&b (lương thưởng, bảo hiểm).",SAISO,CV có hai giai đoạn 05/2016–07/2020 và 09/2022–nay; '4 năm' tự cộng và bỏ mất một giai đoạn
C09_khoang_trong_su_nghiep,2,"cô từng làm chuyên viên nhân sự tại công ty tnhh may mặc tiến thành từ 09/2022 đến nay, chịu trách nhiệm tính lương, quản lý bảo hiểm xã hội và cập nhật nội quy lao động.",DUNG,
C09_khoang_trong_su_nghiep,3,"trước đó, cô làm nhân viên nhân sự tại công ty cp cơ khí hải phòng từ 05/2016 đến 07/2020.",DUNG,
C09_khoang_trong_su_nghiep,4,trình độ học vấn là cử nhân quản trị nhân lực.,DUNG,
C09_khoang_trong_su_nghiep,5,"kỹ năng nổi bật bao gồm excel (hàm nâng cao), phần mềm chấm công, và nắm vững quy định bhxh và bộ luật lao động 2019.",DUNG,
C10_liet_ke_cong_nghe,1,"đinh văn tùng là một ứng viên có kinh nghiệm 2 năm làm lập trình viên tại công ty tnhh gia công phần mềm nam việt, tham gia các dự án outsourcing cho khách hàng nhật bản.",SAISO,Tự tính; CV 06/2022 – nay
C10_liet_ke_cong_nghe,2,"anh có kiến thức về c#, asp.net core, sql server và am hiểu các công nghệ như docker, kubernetes, jenkins, gitlab ci, aws, azure.",SUYDIEN,"PHÂN VÂN: CV chỉ LIỆT KÊ Docker/Kubernetes/Jenkins…, phần kinh nghiệm không nói làm gì với chúng; 'am hiểu' là nâng dòng liệt kê lên"
C10_liet_ke_cong_nghe,3,"ngoài ra, anh còn có kỹ năng với các công nghệ khác như java, spring boot, nodejs, reactjs, angular, mongodb, redis, kafka, rabbitmq, elasticsearch.",DUNG,Chỉ nhắc lại danh sách kỹ năng của CV
